index,glyph_type,sizeA,sizeB,sizeC
40,circle,6.0,32.0,51.0
42,star,71.0,50.0,37.0
43,square,37.0,31.0,19.0
44,star,82.0,62.0,43.0
47,line,35.0,46.0,53.0
49,line,39.0,29.0,14.0
50,star,78.0,53.0,38.0
52,circle,40.0,27.0,12.0
54,polygon,93.0,69.0,54.0
55,circle,96.0,88.0,78.0
56,star,48.0,67.0,98.0
58,circle,38.0,47.0,59.0
60,line,6.0,18.0,40.0
61,star,82.0,86.0,96.0
62,star,53.0,57.0,64.0
63,line,67.0,82.0,96.0
64,polygon,61.0,32.0,13.0
66,square,21.0,40.0,59.0
71,polygon,7.0,14.0,23.0
74,star,47.0,54.0,67.0
75,square,18.0,35.0,54.0
77,line,23.0,36.0,45.0
79,square,44.0,48.0,54.0
80,line,17.0,35.0,60.0
82,circle,66.0,75.0,93.0
83,line,64.0,73.0,85.0
84,star,38.0,46.0,60.0
85,polygon,69.0,37.0,21.0
87,polygon,67.0,56.0,43.0
88,line,4.0,29.0,50.0
89,line,90.0,92.0,100.0
91,polygon,90.0,73.0,66.0
92,line,99.0,93.0,87.0
94,polygon,92.0,73.0,63.0
95,circle,70.0,79.0,92.0
97,square,87.0,83.0,76.0
98,star,14.0,41.0,56.0
99,polygon,42.0,25.0,11.0
100,star,48.0,28.0,6.0
1,line,26.0,44.0,71.0
2,line,47.0,61.0,80.0
4,circle,24.0,34.0,56.0
7,circle,76.0,80.0,90.0
9,square,13.0,8.0,2.0
10,square,41.0,30.0,17.0
11,star,31.0,42.0,49.0
12,circle,59.0,46.0,34.0
17,square,17.0,36.0,62.0
19,polygon,52.0,34.0,17.0
20,line,32.0,23.0,11.0
21,polygon,45.0,65.0,91.0
23,polygon,63.0,79.0,96.0
24,polygon,82.0,63.0,46.0
25,polygon,45.0,61.0,80.0
26,line,7.0,30.0,40.0
28,circle,18.0,35.0,56.0
30,star,77.0,58.0,31.0
32,line,42.0,55.0,87.0
33,circle,40.0,33.0,28.0
34,line,1.0,9.0,17.0
35,polygon,35.0,43.0,50.0
36,polygon,21.0,26.0,38.0
37,square,48.0,36.0,28.0
38,polygon,50.0,66.0,85.0
42,circle,19.0,34.0,52.0
44,line,30.0,23.0,17.0
45,line,35.0,20.0,2.0
46,circle,65.0,36.0,17.0
47,square,46.0,52.0,74.0
49,circle,86.0,68.0,62.0
51,circle,41.0,50.0,74.0
52,square,30.0,36.0,49.0
53,line,71.0,77.0,84.0
54,polygon,63.0,63.0,76.0
55,polygon,64.0,85.0,96.0
56,star,51.0,63.0,70.0
57,star,30.0,46.0,63.0
58,polygon,65.0,57.0,25.0
62,star,25.0,15.0,1.0
63,polygon,79.0,71.0,69.0
64,star,11.0,25.0,36.0
65,square,28.0,36.0,50.0
66,circle,30.0,47.0,67.0
67,circle,23.0,29.0,37.0
68,polygon,71.0,81.0,97.0
69,star,16.0,52.0,61.0
71,polygon,52.0,45.0,18.0
74,polygon,86.0,70.0,54.0
75,circle,80.0,82.0,91.0
76,polygon,55.0,56.0,67.0
77,star,22.0,16.0,4.0
78,circle,48.0,25.0,2.0
82,line,25.0,49.0,70.0
83,square,64.0,50.0,46.0
84,circle,95.0,83.0,77.0
85,line,49.0,59.0,80.0
86,star,36.0,24.0,1.0
88,circle,38.0,30.0,26.0
91,square,14.0,20.0,25.0
92,line,43.0,51.0,82.0
93,star,36.0,42.0,49.0
94,star,83.0,63.0,51.0
95,polygon,9.0,27.0,41.0
96,star,25.0,19.0,12.0
97,square,37.0,23.0,10.0
98,square,43.0,29.0,9.0
99,star,56.0,34.0,10.0
100,circle,70.0,74.0,90.0
1,tree_growth,28.0,50.0,70.0
2,sun,83.0,76.0,65.0
3,tree_growth,65.0,46.0,27.0
4,sun,39.0,71.0,87.0
5,flower,7.0,24.0,33.0
6,sun,62.0,75.0,88.0
7,sun,77.0,87.0,98.0
8,tree_growth,85.0,69.0,40.0
9,sun,79.0,69.0,53.0
10,flower,6.0,34.0,45.0
11,flower,64.0,37.0,22.0
12,circular_progressbar,4.0,15.0,26.0
13,sun,51.0,72.0,86.0
14,tree_growth,67.0,50.0,26.0
15,sun,4.0,22.0,39.0
16,sun,48.0,19.0,5.0
17,beer,14.0,22.0,32.0
18,tree_growth,8.0,19.0,34.0
19,flower,74.0,81.0,92.0
20,beer,43.0,32.0,26.0
21,tree_growth,63.0,56.0,46.0
22,tree_growth,33.0,21.0,2.0
23,circular_progressbar,61.0,77.0,96.0
24,beer,14.0,30.0,55.0
25,flower,80.0,66.0,48.0
26,circular_progressbar,10.0,22.0,33.0
27,circular_progressbar,31.0,46.0,66.0
28,circular_progressbar,4.0,14.0,21.0
29,flower,49.0,78.0,94.0
30,flower,28.0,19.0,9.0
31,circular_progressbar,54.0,23.0,7.0
32,tree_growth,91.0,72.0,48.0
33,tree_growth,84.0,69.0,37.0
34,beer,5.0,16.0,28.0
35,sun,27.0,17.0,15.0
36,circular_progressbar,71.0,61.0,44.0
37,flower,4.0,18.0,22.0
38,sun,21.0,34.0,55.0
39,circular_progressbar,69.0,82.0,100.0
40,sun,57.0,70.0,82.0
41,circular_progressbar,70.0,59.0,49.0
42,beer,65.0,54.0,45.0
43,circular_progressbar,68.0,42.0,29.0
44,beer,25.0,42.0,66.0
45,tree_growth,34.0,19.0,11.0
46,circular_progressbar,17.0,32.0,44.0
47,beer,87.0,72.0,57.0
48,tree_growth,60.0,78.0,99.0
49,flower,2.0,25.0,48.0
50,flower,40.0,23.0,2.0
51,flower,58.0,83.0,95.0
52,sun,38.0,56.0,70.0
53,tree_growth,59.0,81.0,98.0
54,tree_growth,56.0,37.0,23.0
55,flower,83.0,70.0,44.0
56,beer,67.0,50.0,30.0
57,circular_progressbar,79.0,88.0,92.0
58,beer,50.0,65.0,84.0
59,tree_growth,89.0,80.0,74.0
60,circular_progressbar,51.0,56.0,62.0
61,tree_growth,61.0,74.0,88.0
62,sun,24.0,39.0,55.0
63,tree_growth,48.0,26.0,7.0
64,tree_growth,21.0,32.0,39.0
65,beer,8.0,19.0,31.0
66,flower,73.0,81.0,95.0
67,circular_progressbar,67.0,37.0,21.0
68,sun,48.0,66.0,74.0
69,sun,1.0,18.0,35.0
70,flower,69.0,53.0,35.0
71,sun,79.0,88.0,97.0
72,circular_progressbar,30.0,47.0,71.0
73,tree_growth,69.0,77.0,83.0
74,flower,40.0,70.0,87.0
75,beer,55.0,47.0,38.0
76,beer,67.0,73.0,77.0
77,flower,98.0,78.0,58.0
78,circular_progressbar,95.0,67.0,53.0
79,circular_progressbar,19.0,11.0,1.0
80,sun,12.0,30.0,59.0
81,sun,35.0,66.0,80.0
82,flower,73.0,64.0,56.0
83,beer,29.0,24.0,19.0
85,circular_progressbar,70.0,40.0,20.0
86,tree_growth,44.0,64.0,74.0
87,circular_progressbar,6.0,14.0,29.0
88,beer,78.0,64.0,48.0
89,flower,52.0,79.0,92.0
90,flower,71.0,57.0,34.0
91,beer,2.0,15.0,29.0
92,beer,61.0,50.0,42.0
93,flower,5.0,20.0,30.0
94,beer,80.0,87.0,98.0
95,sun,76.0,68.0,58.0
96,tree_growth,3.0,19.0,28.0
97,beer,74.0,61.0,50.0
98,beer,8.0,16.0,25.0
99,beer,9.0,18.0,27.0
100,circular_progressbar,68.0,26.0,20.0
1,circular_progressbar,85.0,64.0,43.0
2,beer,68.0,83.0,98.0
3,tree_growth,71.0,67.0,53.0
4,tree_growth,54.0,38.0,13.0
5,sun,21.0,30.0,36.0
6,flower,49.0,66.0,96.0
7,tree_growth,27.0,17.0,12.0
8,beer,39.0,51.0,59.0
9,circular_progressbar,50.0,63.0,69.0
10,tree_growth,85.0,74.0,55.0
11,circular_progressbar,55.0,35.0,14.0
12,flower,31.0,23.0,11.0
13,beer,79.0,85.0,94.0
14,circular_progressbar,20.0,12.0,5.0
15,flower,78.0,70.0,62.0
16,sun,47.0,16.0,3.0
17,flower,89.0,80.0,67.0
18,beer,37.0,30.0,18.0
19,tree_growth,18.0,43.0,67.0
20,beer,26.0,38.0,58.0
21,tree_growth,59.0,49.0,34.0
22,sun,40.0,18.0,8.0
23,sun,29.0,36.0,52.0
24,flower,35.0,19.0,4.0
25,flower,34.0,20.0,2.0
26,circular_progressbar,12.0,24.0,31.0
27,circular_progressbar,28.0,48.0,71.0
28,flower,50.0,70.0,85.0
29,sun,12.0,29.0,58.0
30,beer,94.0,72.0,59.0
31,beer,69.0,56.0,42.0
32,beer,70.0,79.0,89.0
33,beer,65.0,40.0,15.0
34,sun,90.0,83.0,71.0
35,sun,20.0,28.0,32.0
36,sun,4.0,13.0,18.0
37,circular_progressbar,68.0,56.0,45.0
38,tree_growth,63.0,79.0,96.0
39,circular_progressbar,64.0,81.0,98.0
40,circular_progressbar,58.0,66.0,76.0
41,flower,30.0,25.0,20.0
42,beer,35.0,21.0,1.0
43,sun,41.0,27.0,21.0
44,flower,9.0,23.0,34.0
45,tree_growth,17.0,12.0,6.0
46,flower,3.0,20.0,23.0
47,circular_progressbar,71.0,53.0,40.0
48,tree_growth,87.0,79.0,41.0
49,tree_growth,1.0,27.0,35.0
50,sun,84.0,77.0,68.0
1,circular_progressbar,15.0,33.0,61.0
2,flower,85.0,78.0,71.0
3,sun,26.0,12.0,1.0
4,circular_progressbar,80.0,61.0,31.0
5,beer,40.0,48.0,58.0
6,flower,70.0,56.0,39.0
7,beer,80.0,57.0,37.0
8,circular_progressbar,66.0,55.0,42.0
9,flower,49.0,57.0,60.0
10,sun,37.0,16.0,3.0
11,sun,74.0,69.0,47.0
12,tree_growth,13.0,16.0,31.0
13,sun,8.0,17.0,21.0
14,beer,2.0,17.0,30.0
15,beer,61.0,48.0,40.0
16,sun,78.0,68.0,55.0
17,tree_growth,46.0,37.0,29.0
18,circular_progressbar,31.0,25.0,20.0
19,flower,36.0,65.0,84.0
20,circular_progressbar,59.0,43.0,30.0
21,sun,63.0,34.0,14.0
22,flower,24.0,20.0,7.0
23,circular_progressbar,1.0,18.0,33.0
24,beer,74.0,58.0,50.0
25,sun,89.0,76.0,46.0
26,flower,72.0,62.0,42.0
27,circular_progressbar,20.0,16.0,9.0
28,tree_growth,58.0,42.0,33.0
29,tree_growth,3.0,22.0,32.0
30,tree_growth,47.0,70.0,89.0
31,circular_progressbar,12.0,34.0,58.0
32,flower,62.0,76.0,92.0
33,beer,55.0,32.0,11.0
34,beer,38.0,25.0,11.0
35,circular_progressbar,5.0,29.0,55.0
36,tree_growth,18.0,14.0,2.0
37,sun,9.0,21.0,31.0
38,tree_growth,7.0,20.0,35.0
39,beer,43.0,30.0,14.0
40,flower,26.0,44.0,54.0
41,flower,87.0,72.0,50.0
42,tree_growth,86.0,67.0,49.0
43,beer,85.0,58.0,35.0
44,sun,31.0,12.0,1.0
45,circular_progressbar,64.0,56.0,49.0
46,flower,2.0,23.0,35.0
47,beer,70.0,55.0,31.0
48,tree_growth,47.0,31.0,17.0
49,sun,32.0,16.0,2.0
50,tree_growth,62.0,75.0,92.0
1,beer,11.0,31.0,57.0
2,circular_progressbar,10.0,18.0,33.0
3,tree_growth,79.0,66.0,32.0
4,flower,82.0,67.0,43.0
5,sun,43.0,24.0,13.0
6,tree_growth,68.0,77.0,90.0
7,circular_progressbar,35.0,19.0,5.0
8,sun,1.0,16.0,34.0
9,beer,40.0,30.0,17.0
10,sun,35.0,18.0,9.0
11,beer,45.0,16.0,1.0
12,beer,85.0,90.0,97.0
13,beer,10.0,26.0,42.0
14,flower,11.0,20.0,33.0
15,circular_progressbar,69.0,48.0,30.0
16,circular_progressbar,72.0,83.0,93.0
17,sun,60.0,67.0,74.0
18,flower,42.0,53.0,62.0
19,flower,20.0,28.0,38.0
20,flower,83.0,74.0,62.0
21,flower,72.0,63.0,52.0
22,sun,29.0,16.0,9.0
23,beer,41.0,56.0,72.0
24,tree_growth,5.0,22.0,42.0
25,flower,90.0,64.0,44.0
26,sun,65.0,45.0,30.0
27,sun,87.0,79.0,57.0
28,circular_progressbar,4.0,13.0,22.0
29,tree_growth,83.0,78.0,51.0
30,sun,43.0,15.0,1.0
31,circular_progressbar,94.0,82.0,64.0
32,beer,42.0,25.0,10.0
33,tree_growth,11.0,21.0,37.0
34,flower,35.0,49.0,62.0
35,flower,10.0,19.0,27.0
36,beer,31.0,41.0,60.0
37,tree_growth,1.0,19.0,35.0
38,circular_progressbar,63.0,38.0,16.0
39,circular_progressbar,1.0,13.0,35.0
40,sun,37.0,42.0,53.0
41,flower,78.0,85.0,100.0
42,circular_progressbar,2.0,15.0,33.0
43,sun,33.0,42.0,54.0
44,tree_growth,98.0,79.0,62.0
45,tree_growth,100.0,82.0,58.0
46,tree_growth,56.0,79.0,93.0
47,tree_growth,32.0,45.0,60.0
48,beer,12.0,29.0,57.0
49,circular_progressbar,48.0,57.0,67.0
50,beer,77.0,58.0,37.0
1,tree_growth,34.0,22.0,4.0
2,sun,42.0,20.0,5.0
3,beer,31.0,25.0,20.0
4,sun,39.0,49.0,62.0
5,circular_progressbar,48.0,72.0,92.0
6,sun,59.0,82.0,94.0
7,flower,27.0,19.0,4.0
8,circular_progressbar,81.0,57.0,38.0
9,tree_growth,30.0,68.0,80.0
10,beer,32.0,46.0,55.0
11,flower,76.0,83.0,94.0
12,circular_progressbar,95.0,88.0,84.0
13,tree_growth,66.0,75.0,78.0
14,sun,46.0,16.0,2.0
15,tree_growth,79.0,75.0,59.0
16,beer,75.0,55.0,33.0
17,flower,72.0,57.0,39.0
18,beer,87.0,62.0,40.0
19,beer,4.0,16.0,24.0
20,circular_progressbar,38.0,43.0,56.0
21,flower,69.0,52.0,22.0
22,tree_growth,40.0,18.0,6.0
23,flower,77.0,69.0,62.0
24,circular_progressbar,65.0,75.0,87.0
25,circular_progressbar,57.0,60.0,67.0
26,beer,11.0,36.0,59.0
27,beer,42.0,50.0,63.0
28,beer,29.0,60.0,79.0
29,flower,3.0,21.0,33.0
30,flower,68.0,46.0,31.0
31,flower,24.0,15.0,2.0
32,sun,66.0,82.0,96.0
33,sun,53.0,60.0,68.0
34,tree_growth,2.0,16.0,29.0
35,tree_growth,36.0,70.0,77.0
36,circular_progressbar,39.0,61.0,83.0
37,sun,56.0,78.0,89.0
38,tree_growth,61.0,50.0,34.0
39,sun,53.0,66.0,75.0
40,tree_growth,7.0,29.0,46.0
41,circular_progressbar,33.0,28.0,22.0
42,tree_growth,55.0,77.0,82.0
43,circular_progressbar,46.0,52.0,58.0
44,beer,13.0,35.0,51.0
45,flower,58.0,50.0,41.0
46,flower,33.0,22.0,2.0
47,beer,29.0,53.0,73.0
48,circular_progressbar,74.0,61.0,45.0
50,sun,93.0,80.0,55.0
1,flower,66.0,51.0,39.0
2,sun,80.0,85.0,90.0
3,flower,24.0,16.0,10.0
4,sun,39.0,69.0,78.0
5,circular_progressbar,21.0,34.0,47.0
6,flower,56.0,40.0,22.0
7,beer,29.0,17.0,4.0
8,circular_progressbar,71.0,64.0,58.0
9,sun,91.0,78.0,44.0
10,circular_progressbar,1.0,15.0,26.0
11,sun,73.0,48.0,30.0
12,beer,29.0,48.0,62.0
13,flower,53.0,59.0,64.0
14,sun,3.0,19.0,30.0
15,tree_growth,32.0,56.0,60.0
16,sun,61.0,83.0,92.0
17,circular_progressbar,66.0,57.0,52.0
18,beer,68.0,56.0,40.0
19,tree_growth,56.0,47.0,10.0
20,sun,22.0,33.0,52.0
21,tree_growth,41.0,62.0,90.0
22,flower,86.0,64.0,42.0
23,flower,10.0,25.0,33.0
24,tree_growth,59.0,44.0,11.0
25,tree_growth,7.0,30.0,38.0
26,flower,28.0,22.0,18.0
27,beer,16.0,38.0,47.0
28,beer,18.0,13.0,5.0
29,tree_growth,48.0,70.0,96.0
30,tree_growth,26.0,18.0,14.0
31,beer,17.0,45.0,65.0
32,sun,82.0,74.0,53.0
33,tree_growth,5.0,17.0,28.0
34,sun,31.0,51.0,64.0
35,beer,100.0,84.0,55.0
36,circular_progressbar,84.0,67.0,47.0
37,circular_progressbar,98.0,86.0,65.0
38,circular_progressbar,74.0,56.0,45.0
39,beer,50.0,31.0,8.0
40,flower,26.0,31.0,37.0
41,circular_progressbar,62.0,39.0,15.0
42,flower,42.0,29.0,20.0
43,tree_growth,58.0,80.0,92.0
44,circular_progressbar,77.0,88.0,95.0
45,sun,31.0,18.0,3.0
46,beer,56.0,74.0,84.0
47,beer,85.0,78.0,66.0
48,circular_progressbar,48.0,75.0,93.0
49,tree_growth,47.0,72.0,93.0
50,flower,36.0,66.0,83.0
1,polygon,64.0,71.0,92.0
2,line,17.0,10.0,2.0
3,square,5.0,26.0,52.0
4,star,38.0,20.0,2.0
5,star,17.0,11.0,4.0
6,line,42.0,59.0,85.0
7,polygon,57.0,32.0,9.0
8,circle,100.0,77.0,58.0
9,square,13.0,38.0,56.0
10,star,61.0,68.0,80.0
11,circle,56.0,50.0,44.0
12,polygon,8.0,44.0,56.0
13,line,31.0,22.0,10.0
14,square,5.0,24.0,47.0
15,star,87.0,82.0,71.0
16,square,10.0,28.0,51.0
17,polygon,6.0,15.0,23.0
18,circle,63.0,45.0,36.0
19,square,85.0,63.0,40.0
20,polygon,38.0,41.0,50.0
21,polygon,70.0,74.0,80.0
22,circle,50.0,62.0,74.0
23,star,79.0,58.0,33.0
24,line,87.0,72.0,62.0
25,star,3.0,18.0,30.0
26,line,46.0,37.0,22.0
27,line,74.0,71.0,58.0
28,star,83.0,55.0,38.0
29,circle,88.0,71.0,60.0
30,line,51.0,68.0,75.0
