index,glyph_type,sizeA,sizeB,sizeC
1,tree_growth,27,36,40
2,circular_progressbar,3,23,37
3,ripple_wave,98,80,86
4,tree_growth,4,2,1
5,circular_progressbar,95,88,81
6,tree_growth,88,94,98
7,sun,84,89,94
